name,ring,quadrant,isNew,description
Kotlin,Adopt,Programming Languages And Frameworks,FALSE,"<p>The <strong>API expand-contract</strong> pattern, sometimes called <a href=""https://www.martinfowler.com/bliki/ParallelChange.html"">parallel change</a>, will be familiar to many, especially when used with databases or code; however, we only see low levels of adoption with APIs. Specifically, we're seeing complex versioning schemes and breaking changes used in scenarios where a simple expand and then contract would suffice. For example, first adding to an API while deprecating an existing element, and then only later removing the deprecated elements once consumers are switched to the newer schema. This approach does require some coordination and visibility of the API consumers, perhaps through a technique such as <a href=""https://martinfowler.com/articles/consumerDrivenContracts.html"">consumer-driven contract</a> testing.</p>"
Kotlin Coroutines,Adopt,Programming Languages And Frameworks,FALSE,
Dagger 2,Adopt,Programming Languages And Frameworks,FALSE,
JUnit,Adopt,Programming Languages And Frameworks,FALSE,
Picasso,Adopt,Programming Languages And Frameworks,FALSE,
Cicerone,Trial,Programming Languages And Frameworks,FALSE,
Java,Hold,Programming Languages And Frameworks,FALSE,
RxJava2,Hold,Programming Languages And Frameworks,FALSE,
Navigation Component,Hold,Programming Languages And Frameworks,FALSE,
MVVM,Adopt,Techniques,FALSE,
Clean architecture,Adopt,Techniques,FALSE,
Scrum,Adopt,Techniques,FALSE,
Feature Toggles,Adopt,Techniques,FALSE,
Unit Tests,Adopt,Techniques,FALSE,
Дизайн система,Adopt,Techniques,FALSE,
UI Tests,Trial,Techniques,FALSE,
Multimodule,Trial,Techniques,FALSE,
MVP,Hold,Techniques,FALSE,
Firebase,Adopt,Platforms,FALSE,
SonarQube,Adopt,Platforms,FALSE,
Doker,Adopt,Platforms,FALSE,
Gitlab CI,Adopt,Platforms,FALSE,
Nexus,Trial,Platforms,FALSE,
Gradle Remote cache,Assess,Platforms,FALSE,
Figma,Adopt,Tools,FALSE,
Charles,Adopt,Tools,FALSE,
Detekt,Adopt,Tools,FALSE,
Leak Canary,Adopt,Tools,FALSE,
Adjust,Adopt,Tools,FALSE,
Firebase Analytics,Trial,Tools,FALSE,
Appsflyer,Access,Tools,FALSE,

